时间,,大秦左岸低压出口_10k压力量产一批0032#压力值(KPa)
2026/1/11,7:20:54,2.61
2026/1/11,7:10:53,2.61
2026/1/11,7:00:52,2.64
2026/1/11,6:50:51,2.65
2026/1/11,6:40:50,2.68
2026/1/11,6:30:49,2.68
2026/1/11,6:20:48,2.74
2026/1/11,6:10:47,2.72
2026/1/11,6:00:46,2.76
2026/1/11,5:50:45,2.78
2026/1/11,5:40:44,2.74
2026/1/11,5:30:43,2.77
2026/1/11,5:20:42,2.77
2026/1/11,5:10:41,2.72
2026/1/11,5:00:40,2.77
2026/1/11,4:50:39,2.8
2026/1/11,4:40:38,2.78
2026/1/11,4:30:37,2.71
2026/1/11,4:20:36,2.76
2026/1/11,4:10:35,2.78
2026/1/11,4:00:34,2.79
2026/1/11,3:50:33,2.76
2026/1/11,3:40:32,2.78
2026/1/11,3:30:31,2.78
2026/1/11,3:20:30,2.77
2026/1/11,3:10:29,2.77
2026/1/11,3:00:28,2.75
2026/1/11,2:50:27,2.8
2026/1/11,2:40:26,2.74
2026/1/11,2:30:25,2.79
2026/1/11,2:20:24,2.8
2026/1/11,2:10:23,2.74
2026/1/11,2:00:22,2.8
2026/1/11,1:50:21,2.83
2026/1/11,1:40:20,2.73
2026/1/11,1:30:19,2.73
2026/1/11,1:20:18,2.79
2026/1/11,1:10:17,2.81
2026/1/11,1:00:16,2.82
2026/1/11,0:50:15,2.79
2026/1/11,0:40:14,2.79
2026/1/11,0:30:13,2.79
2026/1/11,0:20:12,2.66
2026/1/11,0:10:11,2.78
2026/1/11,0:00:10,2.78
2026/1/10,23:50:09,2.81
2026/1/10,23:40:08,2.77
2026/1/10,23:30:07,2.79
2026/1/10,23:20:06,2.73
2026/1/10,23:11:05,2.74
2026/1/10,23:01:04,2.68
2026/1/10,22:51:03,2.73
2026/1/10,22:41:02,2.75
2026/1/10,22:31:01,2.75
2026/1/10,22:21:00,2.75
2026/1/10,22:10:59,2.72
2026/1/10,22:00:58,2.64
2026/1/10,21:50:57,2.67
2026/1/10,21:40:56,2.63
2026/1/10,21:30:55,2.55
2026/1/10,21:20:54,2.6
2026/1/10,21:10:53,2.64
2026/1/10,21:00:52,2.62
2026/1/10,20:50:51,2.59
2026/1/10,20:40:50,2.63
2026/1/10,20:30:49,2.62
2026/1/10,20:20:48,2.69
2026/1/10,20:10:47,2.68
2026/1/10,20:00:46,2.61
2026/1/10,19:50:45,2.72
2026/1/10,19:40:44,2.65
2026/1/10,19:30:43,2.65
2026/1/10,19:20:42,2.59
2026/1/10,19:10:41,2.62
2026/1/10,19:00:40,2.68
2026/1/10,18:50:39,2.55
2026/1/10,18:40:38,2.65
2026/1/10,18:30:37,2.61
2026/1/10,18:20:36,2.6
2026/1/10,18:10:35,2.56
2026/1/10,18:00:34,2.58
2026/1/10,17:50:33,2.53
2026/1/10,17:40:32,2.56
2026/1/10,17:30:31,2.55
2026/1/10,17:20:30,2.51
2026/1/10,17:10:29,2.56
2026/1/10,17:00:28,2.62
2026/1/10,16:50:27,2.57
2026/1/10,16:40:26,2.59
2026/1/10,16:30:25,2.6
2026/1/10,16:20:24,2.66
2026/1/10,16:10:23,2.67
2026/1/10,16:00:22,2.66
2026/1/10,15:50:21,2.66
2026/1/10,15:40:20,2.67
2026/1/10,15:30:19,2.66
2026/1/10,15:20:18,2.74
2026/1/10,15:10:17,2.71
2026/1/10,15:00:16,2.75
2026/1/10,14:50:15,2.73
2026/1/10,14:40:14,2.68
2026/1/10,14:30:13,2.73
2026/1/10,14:20:12,2.78
2026/1/10,14:10:11,2.75
2026/1/10,14:00:10,2.73
2026/1/10,13:50:09,2.66
2026/1/10,13:40:08,2.7
2026/1/10,13:30:07,2.64
2026/1/10,13:20:06,2.66
2026/1/10,13:11:05,2.67
2026/1/10,13:01:04,2.55
2026/1/10,12:51:03,2.56
2026/1/10,12:41:02,2.61
2026/1/10,12:31:01,2.54
2026/1/10,12:21:00,2.61
2026/1/10,12:10:59,2.51
2026/1/10,12:00:58,2.55
2026/1/10,11:50:57,2.5
2026/1/10,11:40:56,2.48
2026/1/10,11:30:55,2.49
2026/1/10,11:20:54,2.5
2026/1/10,11:10:53,2.49
2026/1/10,11:00:52,2.5
2026/1/10,10:50:51,2.57
2026/1/10,10:40:50,2.58
2026/1/10,10:30:49,2.61
2026/1/10,10:20:48,2.6
2026/1/10,10:10:47,2.68
2026/1/10,10:00:46,2.63
2026/1/10,9:50:45,2.63
2026/1/10,9:40:44,2.64
2026/1/10,9:30:43,2.65
2026/1/10,9:20:42,2.62
2026/1/10,9:10:41,2.55
2026/1/10,9:00:40,2.58
2026/1/10,8:50:39,2.54
2026/1/10,8:40:38,2.59
2026/1/10,8:30:37,2.64
2026/1/10,8:20:36,2.52
2026/1/10,8:10:35,2.53
2026/1/10,8:00:34,2.55
2026/1/10,7:50:33,2.57
2026/1/10,7:40:32,2.55
2026/1/10,7:30:31,2.57
2026/1/10,7:20:30,2.64
2026/1/10,7:10:29,2.68
2026/1/10,7:00:28,2.7
2026/1/10,6:50:27,2.65
2026/1/10,6:40:26,2.7
2026/1/10,6:30:25,2.67
2026/1/10,6:20:24,2.74
2026/1/10,6:10:23,2.77
2026/1/10,6:00:22,2.76
2026/1/10,5:50:21,2.72
2026/1/10,5:40:20,2.66
2026/1/10,5:30:19,2.75
2026/1/10,5:20:18,2.74
2026/1/10,5:10:17,2.77
2026/1/10,5:00:16,2.77
2026/1/10,4:50:15,2.79
2026/1/10,4:40:14,2.79
2026/1/10,4:30:13,2.81
2026/1/10,4:20:12,2.76
2026/1/10,4:10:11,2.8
2026/1/10,4:00:10,2.81
2026/1/10,3:50:09,2.73
2026/1/10,3:40:08,2.79
2026/1/10,3:30:07,2.75
2026/1/10,3:20:06,2.72
2026/1/10,3:11:05,2.78
2026/1/10,3:01:04,2.77
2026/1/10,2:51:03,2.8
2026/1/10,2:41:02,2.8
2026/1/10,2:31:01,2.82
2026/1/10,2:21:00,2.75
2026/1/10,2:10:59,2.81
2026/1/10,2:00:58,2.81
2026/1/10,1:50:57,2.81
2026/1/10,1:40:56,2.75
2026/1/10,1:30:55,2.77
2026/1/10,1:20:54,2.81
2026/1/10,1:10:53,2.77
2026/1/10,1:00:52,2.8
2026/1/10,0:50:51,2.73
2026/1/10,0:40:50,2.75
2026/1/10,0:30:49,2.76
2026/1/10,0:20:48,2.74
2026/1/10,0:10:47,2.75
2026/1/10,0:00:46,2.68
